tm_id,client_id,mark_text,mark_type,mark_description,goods_services,nice_classes,vienna_classes,application_number,registration_number,filing_date,priority_date,publication_date,registration_date,renewal_date,expiry_date,jurisdiction,trademark_office,status,opposition_period_end,use_basis,first_use_date,first_use_commerce_date,attorney_ref,internal_ref,estimated_cost,actual_cost,created_on,modified_on,notes
TM-0104,CL-0110,TECHSTREAM,combined,Trademark for TECHSTREAM,Clothing and apparel,"10,36,5",,89/635962,5693847,15 March 2022,,,,,,Europe,EUIPO,cancelled,,,,,,,3707.52,10847.29,13/10/2023,01/19/23,
TM-0105,CL-0221,WELLNESS,combined,Trademark for WELLNESS,Educational services,"3,38","27.05.01, 26.01.03",89/516016,6303261,09/09/2020,,,,,,USA,USPTO,expired,,,,,ATT-3143,TM-INT-4501,1764.74,,06/10/2023,08 April 2024,
TM-0106,CL-0198,LIFETEC,composite,,Automotive parts,"17,38",,89/414202,,"August 01, 2020",,"March 29, 2019",,,,DE,DPMA,expired,,,,,ATT-4303,TM-INT-2704,4904.77,7956.37,"January 26, 2021",,Legacy trademark record
TM-0107,CL-0182,TECHMASTER,logo,Trademark for TECHMASTER,Educational services,"16,42",,89/735032,5062766,2022/08/30,11 March 2020,12/05/19,,,,JP,JPO,cancelled,,,,,ATT-3461,TM-INT-8211,14225.89,1098.77,08 June 2023,07/14/24,
TM-0108,CL-0253,LIFETEC,,,Medical devices,25,,89/876758,,02/13/22,2018-11-03,30/05/2023,04/28/2020,2030/11/25,2029/11/11,GB,UKIPO,pending,,,,,ATT-2754,TM-INT-8350,1340.9,,10/12/2018,,
TM-0109,CL-0400,ADVANCEDSYS360,combined,Trademark for ADVANCEDSYS360,Computer software and hardware,3,,87/980589,5006789,24/10/22,,27-03-2024,,,,Europe,EUIPO,abandoned,,,,,ATT-8271,TM-INT-2829,,,11/11/2022,,
TM-0110,CL-0242,LIFETEC,word,,Food and beverages,"19, 30, 3",,88/323761,5016740,03/01/2019,01/05/21,24-03-2024,,,,CN,CNIPA,pending,,,,,ATT-5831,TM-INT-7794,8673.87,11145.08,2020-02-08,"May 05, 2023",
TM-0111,CL-0274,DRIVETEC,combined,Trademark for DRIVETEC,Financial services,45,,88/140255,,29 November 2021,06-23-2019,,03/07/2024,05/08/2025,17-10-2030,JP,JPO,registered,,,,,ATT-6347,,,,2022/09/10,,Legacy trademark record
TM-0112,CL-0448,NOVALUX,combined,Trademark for NOVALUX,Medical devices,"1, 28, 21","27.05.01, 26.01.03",87/859023,,25-07-2023,,,03/06/2022,1900-01-01,N/A,US,USPTO,pending,,use-in-commerce,,,ATT-6137,TM-INT-4987,12401.9,5716.69,12/14/23,,
TM-0113,CL-0243,WELLNESS,combined,Trademark for WELLNESS,Financial services,"32,9",,87/545269,6898450,12/11/2020,,01 May 2024,,,,CN,CNIPA,cancelled,,,,,ATT-9061,,12860.77,4661.75,04/11/22,,
TM-0114,CL-0157,SMARTFLOW,logo,Trademark for SMARTFLOW,Financial services,"30,5,21","27.05.01, 26.01.03",87/184937,5116227,2018-01-13,2020/11/02,,,,,EU,EUIPO,opposed,,,,,,,2514.28,7025.0,16/01/2021,2024/03/17,Legacy trademark record
TM-0115,CL-0442,BIOSAFE,,,Clothing and apparel,"16,19,29",,89/526038,6949057,02/26/2020,,,,,,USA,USPTO,cancelled,,intent-to-use,,,,TM-INT-8479,14485.98,10148.67,"November 13, 2022",,
TM-0116,CL-0112,SMARTSYS,combined,Trademark for SMARTSYS,Construction materials,"5,11,36","27.05.01, 26.01.03",90/276119,,07/04/2023,,2019-12-08,10 July 2022,01/16/28,04 September 2033,EU,EUIPO,published,31/03/24,,,,,,14388.73,6014.32,03/17/21,04/08/24,Legacy trademark record
TM-0117,CL-0223,NOVALUX,word,,Food and beverages,38,,90/250285,5044152,10/21/23,,,,,,JP,JPO,published,17-12-2024,,,,ATT-3659,TM-INT-2803,,5210.43,"September 23, 2022",,
TM-0118,CL-0439,INNOVATECH225,combined,Trademark for INNOVATECH225,Telecommunications services,5,,89/451385,,2022/03/10,"July 24, 2019",,2023-08-04,13 September 2027,12-05-2032,US,USPTO,opposed,,intent-to-use,,,,TM-INT-2982,1432.78,,14/08/20,2024/05/18,
TM-0119,CL-0492,AUTOTECH,design,Trademark for AUTOTECH,Construction materials,"41,44,36",,87/849901,5558652,12-31-2020,,,,,,USA,USPTO,abandoned,,use-in-commerce,,,ATT-5794,TM-INT-3569,,8124.91,03 May 2019,11/26/24,
TM-0120,CL-0182,NATURALS,,,Medical devices,"1,28",,89/126703,,2023-02-19,,,,,,United States,USPTO,pending,,use-in-commerce,16/01/2020,19/11/2018,ATT-2145,TM-INT-8734,,5550.29,04/04/2019,22-09-2024,
TM-0121,CL-0032,TECHVISION,composite,,Medical devices,"19, 30",,90/373570,,21/09/2020,05-03-2019,,,,,EU,EUIPO,opposed,,,,,ATT-9323,,11572.27,11257.72,04/08/2021,,
TM-0122,CL-0476,SYSTEMCORE,composite,,Educational services,"29, 35, 3",,88/984972,5768886,29/03/18,06/17/20,08-26-2020,,,,US,USPTO,pending,,1(a),,,,TM-INT-5722,7048.65,,02/20/2021,"January 31, 2023",
TM-0123,CL-0493,DATAFLOW402,composite,,Construction materials,"42,25",,89/131890,,"December 06, 2021",19-02-2018,,18/08/22,23/01/25,"March 13, 2032",DE,DPMA,cancelled,,,,,ATT-3351,TM-INT-4735,8850.22,,21/02/21,Unknown,
TM-0124,CL-0098,SMARTSYS,combined,Trademark for SMARTSYS,Automotive parts,"1,9","27.05.01, 26.01.03",89/515525,5776655,2021-02-05,,10/30/2023,2020-07-29,02/05/2025,07/18/2029,EU,EUIPO,abandoned,,,,,ATT-7746,TM-INT-8116,,2989.08,15-11-2018,08/17/23,
TM-0125,CL-0395,TECHSTREAM,logo,Trademark for TECHSTREAM,Construction materials,"45,12","27.05.01, 26.01.03",90/259738,,25/05/2020,2021/01/09,08/27/23,24/05/20,2026/05/28,2031-09-12,Europe,EUIPO,opposed,,,,,ATT-1081,TM-INT-5863,6753.46,,01/03/23,,
TM-0126,CL-0434,INNOVATECH655,,,Telecommunications services,"29,25",,89/879530,,00/00/0000,,,,,,CN,CNIPA,registered,,,,,ATT-5168,,8254.14,,02-24-2023,01/20/2024,
TM-0127,CL-0215,INNOVATECH,logo,Trademark for INNOVATECH,Medical devices,29,"27.05.01, 26.01.03",88/453162,,13/01/22,08-23-2018,12/05/22,08-08-2023,08-18-2027,"October 01, 2030",JP,JPO,pending,,,,,ATT-5312,TM-INT-8172,12683.14,2727.47,01/14/2021,05/01/23,
TM-0128,CL-0342,ORGANIC72,composite,,Computer software and hardware,"20,25",,88/430486,6821001,02/12/2022,2018/03/17,05-10-2020,,,,US,USPTO,pending,,1(a),,,ATT-6698,,6583.39,8255.64,2021/08/07,,
TM-0129,CL-0417,INNOVATEX,composite,,Automotive parts,"19,35,9",,88/966687,5808455,04/28/2018,20 September 2020,,,,,GB,UKIPO,registered,,,,,ATT-5023,,8550.19,,07-12-2022,18/06/23,
TM-0130,CL-0225,INNOVATEX,,,Educational services,"19,18",,90/696194,,02/06/22,,,,,,DE,DPMA,expired,,,,,,TM-INT-3275,13182.8,6540.33,2021/12/03,05 November 2024,
TM-0131,CL-0096,DATASYNC,design,Trademark for DATASYNC,Clothing and apparel,"36, 38, 3",,89/668092,,21 October 2023,2020-05-04,,10 July 2021,01/24/2029,2033-09-24,JP,JPO,cancelled,,,,,ATT-3899,TM-INT-9566,10284.15,,,11-08-2024,
TM-0132,CL-0046,DATAFLOW943,combined,Trademark for DATAFLOW943,Computer software and hardware,"11,45,44","27.05.01, 26.01.03",87/893971,,27-02-2019,,2024/05/15,11-13-2023,03 June 2025,2034-07-20,GB,UKIPO,registered,,,,,ATT-5728,TM-INT-3382,5927.1,1474.56,"November 08, 2022",2024/10/21,
TM-0133,CL-0164,LIFETEC,combined,Trademark for LIFETEC,Automotive parts,"25,10,36","27.05.01, 26.01.03",87/817270,5426991,18/03/2019,,22/12/2019,12/31/2022,2030-10-19,22/10/2028,Europe,EUIPO,cancelled,,,,,ATT-2970,,5162.86,,09-12-2019,04-29-2024,
TM-0134,CL-0042,INNOVATECH874,,,Clothing and apparel,10,,90/300545,6315011,28-01-2023,09-01-2021,24 June 2023,08-02-2021,12/09/27,"April 29, 2034",USA,USPTO,abandoned,,1(b),,,ATT-9696,TM-INT-5124,3394.13,7694.98,07-31-2023,09-16-2023,
TM-0135,CL-0036,ECOPACK724,logo,Trademark for ECOPACK724,Food and beverages,"35,1","27.05.01, 26.01.03",87/995138,,04/03/19,,,,,,USA,USPTO,pending,,,,,ATT-8805,,9783.24,,11/05/2018,,
TM-0136,CL-0490,SYSTEMTECH,logo,Trademark for SYSTEMTECH,Automotive parts,"44, 35","27.05.01, 26.01.03",88/985810,5845965,07-05-2020,,24 December 2020,28/10/20,"January 01, 2026",14/04/32,USA,USPTO,opposed,,1(a),07 February 2015,04 February 2023,,TM-INT-5803,,,2020-11-02,,
TM-0137,CL-0370,DATATECH,logo,Trademark for DATATECH,Computer software and hardware,5,,87/396590,,2019/04/20,,22 April 2019,,,,GB,UKIPO,opposed,,,,,,,,9953.6,2020/03/24,02/15/2023,Legacy trademark record
TM-0138,CL-0115,DRIVETEC,logo,Trademark for DRIVETEC,Medical devices,"17,44",,88/972199,6222246,"August 18, 2018",,,,,,GB,UKIPO,expired,,,,,ATT-9335,TM-INT-2676,10429.8,2288.64,10 November 2021,,
TM-0139,CL-0337,DATATECH,word,,Financial services,1,,88/225653,,01 May 2021,,,"October 08, 2020","March 10, 2026",15 August 2031,JP,JPO,opposed,,,,,,TM-INT-6021,4909.5,,08/04/23,11/30/23,Legacy trademark record
TM-0140,CL-0267,DATASYNC,design,Trademark for DATASYNC,Food and beverages,"32, 25, 10",,88/350503,5926052,20-08-2021,,02/02/2021,,,,CN,CNIPA,expired,,,,,,TM-INT-1876,14232.19,9550.37,2020/03/26,2023-04-30,
TM-0141,CL-0220,CYBERTECH535,word,,Telecommunications services,38,,90/343539,5210593,12/14/2018,,19/03/19,,,,JP,JPO,pending,,,,,ATT-9249,TM-INT-9357,7290.55,11851.36,26/11/2018,29/07/2024,
TM-0142,CL-0147,ECOPACK,design,Trademark for ECOPACK,Financial services,"5,19,18",,90/866788,5224102,2018/07/08,2021-01-17,26 October 2021,1900-01-01,"January 11, 2026",12/13/30,United States,USPTO,registered,,intent-to-use,,,ATT-9335,,4700.52,7770.25,2018-10-11,,
TM-0143,CL-0447,INNOVATECH812,composite,,Financial services,35,,88/142531,,2018/10/01,,,,,,CN,CNIPA,registered,,,,,ATT-2956,TM-INT-6543,11590.91,6838.54,11/09/18,31/03/2023,
TM-0144,CL-0463,NATURALS,design,Trademark for NATURALS,Automotive parts,"1,28,12",,87/981233,,2020-06-05,,,2023/05/14,2030/08/14,28 December 2030,United States,USPTO,cancelled,,,,,ATT-3443,TM-INT-3727,8721.32,,15 December 2019,,
TM-0145,CL-0300,ADVANCEDSYS10,,,Educational services,25,,88/532215,5737133,2021-08-02,06/01/2021,06/06/20,,,,USA,USPTO,expired,,,,,ATT-5966,TM-INT-9171,4325.58,,2020-12-09,,
TM-0146,CL-0079,TECHSTREAM,combined,Trademark for TECHSTREAM,Construction materials,16,,87/527497,,08/14/2019,24/09/19,,,,,United States,USPTO,cancelled,,,,,,TM-INT-5553,8240.06,6553.67,"October 11, 2019",12/21/23,
TM-0147,CL-0332,INNOVATE,,,Automotive parts,25,,89/931019,,03-01-2022,,,03/01/22,2029-09-11,05-08-2031,USA,USPTO,pending,,1(a),01/17/2018,16/12/20,,TM-INT-1093,4898.06,,2021-04-15,25/02/2023,
TM-0148,CL-0007,INNOVATE,word,,Educational services,"35, 28",,88/970989,5728906,"August 25, 2020",2020/11/16,06/11/2024,30-01-2022,07-10-2027,25-02-2033,DE,DPMA,abandoned,,,,,ATT-2563,TM-INT-4068,,10698.48,2022/08/24,,
TM-0149,CL-0411,LIFETEC,logo,Trademark for LIFETEC,Pharmaceutical preparations,"38, 29","27.05.01, 26.01.03",89/216996,,18 July 2018,,2020-02-26,08 April 2021,21/10/27,05/10/2031,USA,USPTO,opposed,,1(a),"November 17, 2015",28 May 2018,ATT-7453,,,10178.24,27/03/20,,
TM-0150,CL-0182,NOVALUX783,,,Clothing and apparel,"29,32",,89/629232,5633444,30/08/2019,,,12-10-2022,2030-12-16,"March 09, 2031",JP,JPO,pending,,,,,ATT-8758,TM-INT-9942,8266.5,4137.03,2018-04-23,,Legacy trademark record
TM-0151,CL-0083,INNOVATECH,design,Trademark for INNOVATECH,Educational services,"44,18",,89/607972,,09/07/20,30/04/21,"March 16, 2023",,,,GB,UKIPO,pending,,,,,ATT-2371,TM-INT-6378,12468.88,7136.08,23-07-2023,18 March 2024,
TM-0152,CL-0145,GREENTECH,composite,,Financial services,16,,89/470104,,29 June 2022,,,,,,CN,CNIPA,cancelled,,,,,ATT-1397,TM-INT-4746,2838.75,,00/00/0000,10/22/24,
TM-0153,CL-0135,LIFETEC301,logo,Trademark for LIFETEC301,Computer software and hardware,"30,25,21",,89/201914,,2020/01/10,05-06-2021,25-09-2024,2023-01-08,13 January 2026,03/03/30,US,USPTO,opposed,,,,,ATT-5561,TM-INT-8956,7740.09,,2019/12/11,,
TM-0154,CL-0303,AUTOTECH,design,Trademark for AUTOTECH,Food and beverages,10,"27.05.01, 26.01.03",87/805946,6446542,12-29-2018,2018/04/04,,,,,CN,CNIPA,pending,,,,,ATT-2813,TM-INT-8284,,,02/02/2021,,
TM-0155,CL-0471,SMARTFLOW,logo,Trademark for SMARTFLOW,Educational services,"17, 12","27.05.01, 26.01.03",88/620493,6996887,25 September 2020,,2020/11/29,,,,DE,DPMA,pending,,,,,ATT-5004,TM-INT-7773,4108.16,,"January 11, 2020",13/03/23,
TM-0156,CL-0324,TECHVISION,,,Clothing and apparel,32,,90/917817,,11/11/21,,18 November 2021,,,,JP,JPO,opposed,,,,,ATT-5117,TM-INT-8110,8578.29,,"July 20, 2018",,
TM-0157,CL-0332,WELLNESS,combined,Trademark for WELLNESS,Pharmaceutical preparations,"36,18",,87/762522,,12-22-2021,09/11/20,06 November 2022,00/00/0000,"October 31, 2029",25-07-2034,EU,EUIPO,registered,,,,,ATT-2747,,1713.03,807.25,04-08-2022,,
TM-0158,CL-0183,CYBERTECH,word,,Pharmaceutical preparations,"41, 11",,87/146896,6685143,01/22/2020,,28-04-2019,"April 26, 2024",2025-04-12,10/08/2033,CN,CNIPA,abandoned,,,,,ATT-6216,TM-INT-6667,,7354.34,03/05/2023,2023/05/12,
TM-0159,CL-0438,AUTOTECH,word,,Automotive parts,"10,44",,89/384501,,22/06/2018,2018/02/09,10/01/2022,,,,DE,DPMA,pending,,,,,,TM-INT-2449,14613.58,,04/08/2020,,
TM-0160,CL-0278,DATAFLOW,combined,Trademark for DATAFLOW,Construction materials,"45,44,5","27.05.01, 26.01.03",88/478050,6914019,31 July 2018,,28/02/2024,,,,USA,USPTO,cancelled,,intent-to-use,,,ATT-1567,TM-INT-5468,13699.99,6866.8,29/10/19,,
TM-0161,CL-0095,TECHPRO,,,Telecommunications services,25,,87/609542,5814645,03 August 2021,2020/05/30,,"October 08, 2020",27/09/2025,28-10-2031,Europe,EUIPO,expired,,,,,ATT-7313,TM-INT-9934,,,2019/01/09,,
TM-0162,CL-0413,ADVANCEDSYS,word,,Automotive parts,10,,90/854443,,10/22/20,,01/06/21,04/04/21,12/21/28,17 January 2031,EU,EUIPO,published,12/24/2024,,,,ATT-7767,,4129.99,,04/06/22,,
TM-0163,CL-0032,DATASYNC152,design,Trademark for DATASYNC152,Clothing and apparel,"19,29,30",,88/639950,,2018/08/24,,,,,,EU,EUIPO,registered,,,,,ATT-8082,TM-INT-9701,,,19/03/2021,28 August 2024,Legacy trademark record
TM-0164,CL-0077,NATURALS,composite,,Educational services,19,,87/616565,6041064,08-07-2019,,,,,,US,USPTO,abandoned,,1(a),,,ATT-3007,,,7825.07,05-18-2020,,Legacy trademark record
TM-0165,CL-0374,INNOVATEX,composite,,Automotive parts,"18,19,30",,88/465334,5161261,03-10-2023,,"November 23, 2023",,,,JP,JPO,abandoned,,,,,ATT-5730,TM-INT-5943,3432.57,,07 July 2023,,
TM-0166,CL-0454,WELLNESS136,combined,Trademark for WELLNESS136,Computer software and hardware,29,,87/507138,,09-28-2020,2022/02/10,2021-04-21,,,,CN,CNIPA,registered,,,,,ATT-8396,TM-INT-7327,5514.53,4732.56,18 November 2023,03/01/24,
TM-0167,CL-0010,GREENTECH636,word,,Financial services,"44,28,12",,90/630510,,2021-07-10,,2020-03-20,,,,CN,CNIPA,opposed,,,,,,TM-INT-2634,13895.29,10053.13,08-26-2019,25/01/2023,
TM-0168,CL-0152,SPEEDWAY,combined,Trademark for SPEEDWAY,Clothing and apparel,"41, 17","27.05.01, 26.01.03",87/607741,,"February 05, 2020",18/03/21,,"July 17, 2020","January 19, 2025",05-01-2033,US,USPTO,opposed,,use-in-commerce,,,ATT-7584,,1331.54,4514.76,24-01-2018,15/09/23,
TM-0169,CL-0237,HEALTHPRO,word,,Educational services,"3, 41",,88/781576,,01/03/20,,,,,,United States,USPTO,abandoned,,,,,ATT-5524,TM-INT-3438,,5635.59,16-11-2019,,Legacy trademark record
TM-0170,CL-0098,BIOSAFE,,,Educational services,30,,87/510556,,2021-10-28,,,,,,CN,CNIPA,cancelled,,,,,ATT-1558,TM-INT-1857,4159.36,10853.71,11-10-2019,01/29/2023,
TM-0171,CL-0421,SMARTFLOW876,design,Trademark for SMARTFLOW876,Clothing and apparel,17,"27.05.01, 26.01.03",90/264274,5303044,12/29/2023,,"May 23, 2023",,,,GB,UKIPO,pending,,,,,ATT-6544,TM-INT-9745,9316.74,8374.89,2018/01/20,,
TM-0172,CL-0262,FUTURETECH,,,Clothing and apparel,"38,32,9",,88/384073,,22-10-2021,,,07/06/2020,,07/06/31,GB,UKIPO,cancelled,,,,,ATT-9522,TM-INT-9297,,,27/02/18,2024/09/12,
TM-0173,CL-0450,ORGANIC,composite,,Pharmaceutical preparations,"17, 21",,90/163669,,"November 27, 2020",,19-10-2020,,,,JP,JPO,published,,,,,ATT-9458,TM-INT-6326,9153.48,8723.95,2018/10/22,,
TM-0174,CL-0157,SYSTEMTECH784,,,Construction materials,"5,20",,88/722549,5039007,04/10/2023,,,,,,DE,DPMA,pending,,,,,,TM-INT-9781,9358.08,11735.67,06-06-2022,,
TM-0175,CL-0070,BIOSAFE,logo,Trademark for BIOSAFE,Telecommunications services,12,,89/278508,,2023-11-09,,,,,,Europe,EUIPO,cancelled,,,,,ATT-6707,TM-INT-1861,2004.79,,04/05/21,,
TM-0176,CL-0150,WELLNESS,,,Telecommunications services,"32,45,12",,89/331511,,22/02/2019,,"June 27, 2020",06/03/2022,03-08-2029,13/10/29,DE,DPMA,expired,,,,,,TM-INT-7321,2505.23,2367.99,01/22/20,,
TM-0177,CL-0363,LIFETEC490,composite,,Computer software and hardware,"28, 30",,88/314059,,06/06/23,12/03/21,2024/09/14,,,,EU,EUIPO,registered,,,,,,TM-INT-4990,13940.23,,24/07/2021,29 June 2023,
TM-0178,CL-0166,CAREPLUS,logo,Trademark for CAREPLUS,Medical devices,"28,12,1","27.05.01, 26.01.03",87/775329,,2021/09/26,2019-11-20,1900-01-01,,,,Europe,EUIPO,opposed,,,,,ATT-8661,TM-INT-5474,12540.49,5652.93,09/13/23,,Legacy trademark record
TM-0179,CL-0101,NOVALUX,design,Trademark for NOVALUX,Computer software and hardware,12,,89/784649,6832009,"February 28, 2020",12-14-2019,03-28-2022,06-26-2024,04/22/29,29/07/33,USA,USPTO,expired,,use-in-commerce,2021/12/17,07/12/23,ATT-4907,,1492.28,,1900-01-01,,Legacy trademark record
TM-0180,CL-0215,ECOPACK,logo,Trademark for ECOPACK,Medical devices,"17,16",,87/833172,,2023/01/07,,2020-04-07,10-26-2023,03/06/2029,22/02/29,GB,UKIPO,abandoned,,,,,,TM-INT-3712,9957.5,4279.36,N/A,,
TM-0181,CL-0474,LIFETEC,word,,Construction materials,"21,41",,90/249016,,06-05-2022,22-04-2020,01/29/2020,,,,USA,USPTO,abandoned,,,,,,TM-INT-2061,8470.68,7046.71,02/22/2019,,
TM-0182,CL-0078,TECHSTREAM,composite,,Computer software and hardware,"29,1,11",,90/579746,6792225,21/11/21,,1900-01-01,03-23-2024,05/08/2030,12-12-2033,GB,UKIPO,registered,,,,,ATT-2637,TM-INT-7868,,3064.36,"August 14, 2021","June 13, 2023",
TM-0183,CL-0297,INNOVATE,,,Pharmaceutical preparations,"9, 3",,89/184817,5370815,01-05-2020,,29/03/2019,,,,CN,CNIPA,published,,,,,ATT-2177,TM-INT-4977,9567.81,1219.68,2019-06-10,2023/10/05,
TM-0184,CL-0064,TECHMASTER265,word,,Computer software and hardware,"19,35,38",,88/302608,5614385,1900-01-01,,2021/01/29,,,,Europe,EUIPO,registered,,,,,,TM-INT-3076,6659.87,3740.06,25-01-2022,,
TM-0185,CL-0323,DATASYNC,combined,Trademark for DATASYNC,Telecommunications services,17,"27.05.01, 26.01.03",88/855388,5549636,04-21-2020,,,,,,CN,CNIPA,cancelled,,,,,,TM-INT-7786,,6766.89,28/06/22,,
TM-0186,CL-0368,AUTOTECH490,design,Trademark for AUTOTECH490,Automotive parts,21,,87/535832,,26/01/2023,2021/07/23,2024-03-05,,,,US,USPTO,registered,,1(a),03 June 2021,05/12/20,,TM-INT-2938,,8705.27,03/31/20,09/16/24,Legacy trademark record
TM-0187,CL-0130,CAREPLUS,word,,Construction materials,"44,12",,89/879485,6716025,10/24/19,,,,,,Europe,EUIPO,pending,,,,,ATT-1969,TM-INT-1264,8327.69,1461.64,02/09/21,,
TM-0188,CL-0272,HEALTHPRO,composite,,Automotive parts,12,,89/240659,,03-06-2019,30-03-2021,,,,,US,USPTO,published,,use-in-commerce,04/03/16,"March 08, 2021",ATT-3745,TM-INT-1332,,11810.92,12/21/23,05/25/2024,
TM-0189,CL-0305,AUTOTECH720,logo,Trademark for AUTOTECH720,Financial services,"20,9",,89/261206,,07/09/2021,,,30/11/2020,11-12-2028,31/07/2034,USA,USPTO,abandoned,,use-in-commerce,27-12-2019,08 August 2020,ATT-9338,TM-INT-2582,,,09/17/2022,,
TM-0190,CL-0048,DATASYNC,logo,Trademark for DATASYNC,Automotive parts,"35, 32, 45",,88/916690,5660529,03/05/2018,2021-09-25,,01/19/2022,2030/04/19,27/06/2028,CN,CNIPA,cancelled,,,,,ATT-5235,TM-INT-5741,8837.9,1153.69,04/05/18,2023-03-11,Legacy trademark record
TM-0191,CL-0473,ADVANCEDSYS507,,,Medical devices,"18,10,44",,89/176476,,11-02-2020,1900-01-01,06/08/20,2021-01-14,04/10/2026,06-08-2034,JP,JPO,abandoned,,,,,ATT-9586,TM-INT-5819,14428.25,,03/01/2021,2024/11/10,
TM-0192,CL-0227,SPEEDWAY,,,Clothing and apparel,"19,12",,87/380408,,"September 28, 2021","July 21, 2019",12-31-2021,,,,CN,CNIPA,registered,,,,,ATT-1311,TM-INT-5336,,6352.04,2019-02-20,,
TM-0193,CL-0366,WELLNESS,composite,,Educational services,"17,3,32",,88/446797,5296596,19/07/19,19/04/2022,,"January 02, 2021",10/21/27,2031/08/23,JP,JPO,expired,,,,,,TM-INT-1111,,10847.33,04/05/2020,,
TM-0194,CL-0235,ORGANIC868,,,Computer software and hardware,42,,89/696546,6199278,"March 12, 2022",,,,,,CN,CNIPA,pending,,,,,ATT-1038,TM-INT-3560,7823.62,7276.31,15/12/2020,,
TM-0195,CL-0253,ECOPACK429,design,Trademark for ECOPACK429,Construction materials,35,"27.05.01, 26.01.03",89/121307,5020537,23/09/23,04/24/2020,08-23-2024,,,,EU,EUIPO,abandoned,,,,,,TM-INT-2499,13196.72,,19-09-2020,,
TM-0196,CL-0133,MEDTECH328,design,Trademark for MEDTECH328,Pharmaceutical preparations,"21,1,11","27.05.01, 26.01.03",88/628973,,11-03-2020,,,08/04/21,"July 27, 2026",29/08/29,DE,DPMA,registered,,,,,ATT-2281,,6042.9,2886.27,2023/07/31,2023/03/28,
TM-0197,CL-0395,NATURALS,word,,Automotive parts,"32,29",,87/412719,6422607,06-09-2023,04/15/22,15/10/22,,,,USA,USPTO,published,,use-in-commerce,,,,TM-INT-1563,,2261.48,03/06/2021,,
TM-0198,CL-0339,TECHSTREAM,logo,Trademark for TECHSTREAM,Financial services,"32, 25",,87/378558,5969603,31-01-2021,11/10/21,,,,,EU,EUIPO,opposed,,,,,ATT-2129,TM-INT-4527,14979.6,9296.75,"May 18, 2023",,
TM-0199,CL-0247,CYBERTECH,logo,Trademark for CYBERTECH,Construction materials,"21, 42",,90/437576,5481699,04/06/2021,09/05/22,,31/05/20,2030-02-21,2032-04-18,CN,CNIPA,abandoned,,,,,,TM-INT-1617,,9037.98,11/12/21,,
TM-0200,CL-0228,DATAFLOW,word,,Financial services,"44, 41",,88/119204,6500612,17-03-2019,N/A,21 April 2022,18/08/2024,09-10-2029,07-28-2034,EU,EUIPO,published,,,,,ATT-8948,TM-INT-4729,8913.01,,03/16/20,,
TM-0201,CL-0308,INNOVATE,composite,,Telecommunications services,16,,89/154635,,2018-02-14,22/09/19,19-01-2021,04/27/21,09/06/27,03-10-2032,United States,USPTO,cancelled,,,,,ATT-3052,TM-INT-4382,8617.1,,06-17-2022,2023-05-12,Legacy trademark record
TM-0202,CL-0414,CAREPLUS,design,Trademark for CAREPLUS,Clothing and apparel,"1, 19, 21","27.05.01, 26.01.03",87/712662,5189694,2018-07-19,,,,,,GB,UKIPO,registered,,,,,ATT-9436,TM-INT-4078,1841.03,4052.7,06/02/2023,2024-03-30,
TM-0203,CL-0210,INNOVATECH,combined,Trademark for INNOVATECH,Construction materials,"5, 35",,87/313945,6993296,09/02/2019,,21/01/23,19-06-2024,10/02/26,2031-02-02,EU,EUIPO,opposed,,,,,ATT-7326,TM-INT-2876,12327.24,6897.99,07/10/20,2024-04-18,
TM-0204,CL-0349,ADVANCEDSYS488,combined,Trademark for ADVANCEDSYS488,Computer software and hardware,"32, 36, 5",,90/140375,,11-10-2021,,,"January 27, 2020","May 23, 2030",31-10-2030,JP,JPO,expired,,,,,,,7942.97,6214.92,19/08/2022,,
TM-0205,CL-0106,TECHVISION,composite,,Educational services,11,,87/655160,6861234,08/09/2022,,22/02/23,"March 22, 2024",01/24/29,12/11/2034,US,USPTO,expired,,intent-to-use,,,ATT-5700,TM-INT-3545,,,01/29/23,2023/09/11,
TM-0206,CL-0398,CYBERSHIELD,logo,Trademark for CYBERSHIELD,Educational services,"30, 12, 25","27.05.01, 26.01.03",89/800743,,N/A,19 May 2021,04-06-2019,,,,US,USPTO,cancelled,,1(a),08/22/2016,,ATT-9531,,13432.44,,10-16-2021,,Legacy trademark record
TM-0207,CL-0457,TECHMASTER,combined,Trademark for TECHMASTER,Pharmaceutical preparations,21,"27.05.01, 26.01.03",89/582444,,11-18-2020,04/03/21,10/04/20,,,,DE,DPMA,abandoned,,,,,ATT-5646,TM-INT-9718,13354.1,,07/25/18,,
TM-0208,CL-0215,SPEEDWAY597,design,Trademark for SPEEDWAY597,Automotive parts,10,"27.05.01, 26.01.03",87/564550,,2018-07-02,06/22/2018,11/26/23,,,,CN,CNIPA,abandoned,,,,,ATT-5344,,9058.6,10292.18,2018/01/11,,
TM-0209,CL-0451,ECOPACK,,,Clothing and apparel,"9,32",,88/888204,,09-24-2019,,,,,,JP,JPO,expired,,,,,ATT-8872,TM-INT-6812,2086.21,10130.88,05/23/22,08/16/23,
TM-0210,CL-0479,INNOVATE,,,Food and beverages,"42,5",,90/459259,,"November 04, 2018",26/09/21,,,,,Europe,EUIPO,opposed,,,,,ATT-2117,,2159.97,10960.27,TBD,,
